2021 super output area - lower layer,Very good health,Good health,Fair health,Bad health,Very bad health,
E01006717 : Liverpool 027D,46.6,34.8,12.6,4.0,1.9,
E01006718 : Liverpool 027E,43.0,31.7,15.9,7.7,1.8,
E01006719 : Liverpool 027F,47.2,32.1,13.3,5.5,2.0,
E01032508 : Liverpool 027G,44.2,31.7,14.6,5.9,3.5,
E01032509 : Liverpool 027H,45.0,31.9,14.2,6.9,1.8,
E01006690 : Liverpool 028A,47.4,29.5,15.1,5.5,2.5,
E01006692 : Liverpool 028B,47.4,31.5,12.6,6.3,2.2,
E01006695 : Liverpool 028C,43.6,33.3,13.9,6.9,2.3,
E01006759 : Liverpool 028D,45.0,32.7,16.4,4.8,1.1,
E01006760 : Liverpool 028E,41.8,32.2,16.0,8.3,1.7,
E01006565 : Liverpool 029A,42.4,30.8,16.1,7.2,3.5,
E01006569 : Liverpool 029B,44.5,30.2,14.5,8.0,2.7,
E01006573 : Liverpool 029C,40.0,32.3,17.7,7.7,2.3,
E01006712 : Liverpool 029D,41.4,33.6,16.0,7.0,2.0,
E01006713 : Liverpool 029E,42.6,34.7,14.6,6.2,1.8,
E01006691 : Liverpool 030A,50.4,30.5,12.5,4.8,1.7,
E01006694 : Liverpool 030B,51.5,29.0,11.1,6.3,2.1,
E01006696 : Liverpool 030C,50.4,29.4,12.0,6.2,2.1,
E01006697 : Liverpool 030D,45.5,36.2,12.9,4.0,1.3,
E01006746 : Liverpool 030E,44.0,30.0,14.8,7.7,3.5,
E01006512 : Liverpool 031A,54.0,34.6,8.3,2.4,0.8,
E01006747 : Liverpool 031B,51.5,34.5,9.5,3.3,1.2,
E01006748 : Liverpool 031C,54.2,32.9,9.1,2.8,1.0,
E01006751 : Liverpool 031F,47.4,31.4,13.3,5.9,2.1,
E01033763 : Liverpool 031G,44.6,32.3,13.5,7.3,2.3,
E01006566 : Liverpool 032A,46.0,31.4,15.2,5.9,1.5,
E01006585 : Liverpool 032B,38.0,33.3,16.8,9.6,2.2,
E01006586 : Liverpool 032C,45.0,30.8,13.9,7.8,2.5,
E01006587 : Liverpool 032D,47.9,30.2,15.3,5.0,1.6,
E01006716 : Liverpool 032E,42.8,31.8,13.2,8.3,4.0,
E01006575 : Liverpool 034A,48.6,28.6,13.2,8.2,1.4,
E01006576 : Liverpool 034B,54.8,30.5,10.5,3.0,1.1,
E01006577 : Liverpool 034C,54.7,30.6,10.6,2.9,1.1,
E01006579 : Liverpool 034D,53.4,31.6,11.0,3.2,0.8,
E01006584 : Liverpool 034E,53.4,29.7,12.2,3.0,1.7,
E01006725 : Liverpool 035B,46.5,29.9,14.6,6.3,2.6,
E01006726 : Liverpool 035C,49.7,33.9,11.7,3.6,1.1,
E01006727 : Liverpool 035D,45.5,35.2,13.8,4.7,0.8,
E01006728 : Liverpool 035E,43.8,34.1,12.7,6.7,2.8,
E01034401 : Liverpool 035G,48.5,32.2,11.7,5.2,2.3,
E01006578 : Liverpool 036A,54.3,30.6,11.7,2.4,1.0,
E01006580 : Liverpool 036B,54.8,30.7,10.6,3.0,0.9,
